date,Total Passengers
1977-Jan,1487588
1977-Feb,1237719
1977-Mar,1450395
1977-Apr,1609159
1977-May,1724392
1977-Jun,1906396
1977-Jul,2373334
1977-Aug,2372987
1977-Sep,2010979
1977-Oct,1806198
1977-Nov,1454126
1977-Dec,1647415
1978-Jan,1610669
1978-Feb,1354608
1978-Mar,1754176
1978-Apr,1733544
1978-May,1942570
1978-Jun,2198429
1978-Jul,2718260
1978-Aug,2710884
1978-Sep,2241586
1978-Oct,1929316
1978-Nov,1614560
1978-Dec,1781091
1979-Jan,1774076
1979-Feb,1561256
1979-Mar,1900097
1979-Apr,2067610
1979-May,2111298
1979-Jun,2523993
1979-Jul,2943282
1979-Aug,3104669
1979-Sep,2444994
1979-Oct,2166730
1979-Nov,1747559
1979-Dec,1826169
1980-Jan,1782353
1980-Feb,1625842
1980-Mar,1925574
1980-Apr,1915541
1980-May,2076528
1980-Jun,2530712
1980-Jul,2890151
1980-Aug,3101750
1980-Sep,2284811
1980-Oct,2072839
1980-Nov,1772565
1980-Dec,2014192
1981-Jan,1953167
1981-Feb,1633905
1981-Mar,1870412
1981-Apr,2072486
1981-May,2219113
1981-Jun,2408134
1981-Jul,2767347
1981-Aug,2770687
1981-Sep,2276942
1981-Oct,2108528
1981-Nov,1775732
1981-Dec,1885940
1982-Jan,1881405
1982-Feb,1671732
1982-Mar,1945402
1982-Apr,2119827
1982-May,2217477
1982-Jun,2506696
1982-Jul,2933162
1982-Aug,2959380
1982-Sep,2324646
1982-Oct,2106557
1982-Nov,1739354
1982-Dec,1936329
1983-Jan,2084139
1983-Feb,1695926
1983-Mar,2110844
1983-Apr,2072557
1983-May,2260183
1983-Jun,2625551
1983-Jul,3045987
1983-Aug,3062160
1983-Sep,2487794
1983-Oct,2294018
1983-Nov,1847896
1983-Dec,1952973
1984-Jan,1941779
1984-Feb,1766849
1984-Mar,2154037
1984-Apr,2295627
1984-May,2560742
1984-Jun,2834238
1984-Jul,3150703
1984-Aug,3245530
1984-Sep,2739615
1984-Oct,2372463
1984-Nov,2044930
1984-Dec,2107732
1985-Jan,2207086
1985-Feb,1902787
1985-Mar,2207788
1985-Apr,2276810
1985-May,2529317
1985-Jun,2821543
1985-Jul,3038012
1985-Aug,3098434
1985-Sep,2343303
1985-Oct,2131151
1985-Nov,1823366
1985-Dec,2065594
1986-Jan,2029305
1986-Feb,1744403
1986-Mar,2196312
1986-Apr,2072426
1986-May,2058952
1986-Jun,2373194
1986-Jul,2818689
1986-Aug,3131884
1986-Sep,2322148
1986-Oct,2093923
1986-Nov,1891615
1986-Dec,2031907
1987-Jan,2051960
1987-Feb,1851269
1987-Mar,2305824
1987-Apr,2382792
1987-May,2533529
1987-Jun,2769991
1987-Jul,3242593
1987-Aug,3414397
