date,price
2013-02-11,24.1955
2013-02-14,26.53092
2013-02-17,25.6083
2013-02-20,29.81231
2013-02-23,29.27998
2013-02-26,31.179
2013-03-01,34.87799
2013-03-04,36.35
2013-03-07,42.49271
2013-03-10,46.5
2013-03-13,46.79999
2013-03-16,47.11
2013-03-19,57.76
2013-03-22,71.5
2013-03-25,73.88798
2013-03-28,93.56701
2013-03-31,92.50001
2013-04-03,138.79
2013-04-06,142.49765
2013-04-09,237.99
2013-04-12,76.488
2013-04-15,91.0
2013-04-18,96.5
2013-04-21,125.0
2013-04-24,153.20019
2013-04-27,128.00001
2013-04-30,139.109
2013-05-03,93.15
2013-05-06,120.94999
2013-05-09,109.56154
2013-05-12,114.32
2013-05-15,114.98499
2013-05-18,123.74995
2013-05-21,122.5
2013-05-24,131.5
2013-05-27,132.60997
2013-05-30,130.99589
2013-06-02,120.60293
2013-06-05,122.4051
2013-06-08,107.8
2013-06-11,108.0
2013-06-14,100.0
2013-06-17,100.52521
2013-06-20,111.97
2013-06-23,107.68389
2013-06-26,104.40565
2013-06-29,95.85301
2013-07-02,89.55
2013-07-05,67.85844
2013-07-08,77.64
2013-07-11,87.15
2013-07-14,94.75
2013-07-17,97.97
2013-07-20,91.8775
2013-07-23,95.396
2013-07-26,96.39475
2013-07-29,101.04202
2013-08-01,104.19
2013-08-04,104.67459
2013-08-07,105.6
2013-08-10,102.61802
2013-08-13,107.29884
2013-08-16,98.51
2013-08-19,102.07
2013-08-22,111.01
2013-08-25,112.9
2013-08-28,119.25
2013-08-31,132.75
2013-09-03,130.45
2013-09-06,122.44
2013-09-09,121.66
2013-09-12,128.45
2013-09-15,125.46
2013-09-18,127.23
2013-09-21,123.5
2013-09-24,122.59
2013-09-27,125.6
2013-09-30,125.8
2013-10-03,116.95
2013-10-06,121.6
2013-10-09,126.08
2013-10-12,127.53
2013-10-15,139.24
2013-10-18,150.59
2013-10-21,177.07
2013-10-24,195.78
2013-10-27,189.06
2013-10-30,203.39
2013-11-02,204.15
2013-11-05,246.63
2013-11-08,325.56
2013-11-11,339.38
2013-11-14,416.5
2013-11-17,463.0
2013-11-20,595.0
2013-11-23,837.99
2013-11-26,844.9
2013-11-29,1083.9
2013-12-02,992.27
2013-12-05,1028.34
2013-12-08,722.99
2013-12-11,886.2
2013-12-14,864.7
2013-12-17,702.05
2013-12-20,660.0
2013-12-23,639.9
2013-12-26,734.42
2013-12-29,714.79
2014-01-01,746.9
2014-01-04,822.38
2014-01-07,867.38
2014-01-10,827.46
2014-01-13,807.83
2014-01-16,830.9
2014-01-19,833.0
2014-01-22,813.05
2014-01-25,806.0
2014-01-28,800.2
2014-01-31,802.5
2014-02-03,813.8
2014-02-06,778.0
2014-02-09,710.0
2014-02-12,667.01
2014-02-15,651.42
2014-02-18,626.77
2014-02-21,566.16
2014-02-24,545.0
2014-02-27,585.17
2014-03-02,559.88
2014-03-05,664.85
2014-03-08,609.0
2014-03-11,622.9
2014-03-14,636.47
2014-03-17,624.7
2014-03-20,590.0
2014-03-23,567.13
2014-03-26,585.7
2014-03-29,499.94
2014-04-01,479.51
2014-04-04,446.01
2014-04-07,447.74
2014-04-10,401.0
2014-04-13,405.0
2014-04-16,511.5
2014-04-19,499.9
2014-04-22,493.33
2014-04-25,459.15
2014-04-28,447.0
2014-05-01,460.01
2014-05-04,436.21
2014-05-07,446.65
2014-05-10,452.42
2014-05-13,438.95
2014-05-16,449.51
2014-05-19,446.42
2014-05-22,523.84
2014-05-25,575.0
2014-05-28,574.33
2014-05-31,620.45
2014-06-03,673.9
2014-06-06,655.75
2014-06-09,650.93
2014-06-12,617.0
2014-06-15,560.49
2014-06-18,604.6
2014-06-21,590.99
2014-06-24,585.54
2014-06-27,588.97
2014-06-30,620.0
2014-07-03,644.04
2014-07-06,634.49
2014-07-09,624.84
2014-07-12,631.98
2014-07-15,623.17
2014-07-18,629.86
2014-07-21,619.14
2014-07-24,601.18
2014-07-27,592.51
2014-07-30,573.48
2014-08-02,591.59
2014-08-05,580.21
2014-08-08,589.3
2014-08-11,578.97
2014-08-14,521.66
2014-08-17,491.88
2014-08-20,507.3
2014-08-23,503.88
2014-08-26,512.79
2014-08-29,511.99
2014-09-01,482.59
2014-09-04,486.0
2014-09-07,480.62
2014-09-10,485.03
2014-09-13,479.86
2014-09-16,468.0
2014-09-19,398.89
2014-09-22,400.98
2014-09-25,408.08
2014-09-28,380.0
2014-10-01,385.27
2014-10-04,336.0
2014-10-07,330.7
2014-10-10,358.97
2014-10-13,381.46
2014-10-16,378.02
2014-10-19,388.99
2014-10-22,385.1
2014-10-25,348.89
2014-10-28,354.94
2014-10-31,340.95
2014-11-03,325.81
2014-11-06,347.96
2014-11-09,356.34
2014-11-12,430.07
2014-11-15,373.14
2014-11-18,379.91
2014-11-21,356.9
2014-11-24,384.0
2014-11-27,372.62
2014-11-30,375.96
2014-12-03,378.25
2014-12-06,374.05
2014-12-09,350.29
2014-12-12,355.08
2014-12-15,352.15
2014-12-18,317.7
2014-12-21,326.93
2014-12-24,327.59
2014-12-27,314.45
2014-12-30,313.09
2015-01-02,316.15
2015-01-05,276.8
2015-01-08,276.8
2015-01-11,272.25
2015-01-14,176.5
2015-01-17,197.12
2015-01-20,212.99
2015-01-23,233.03
2015-01-26,271.47
2015-01-29,233.19
2015-02-01,220.72
2015-02-04,222.56
2015-02-07,225.16
2015-02-10,220.16
2015-02-13,239.94
2015-02-16,235.86
2015-02-19,241.59
2015-02-22,236.0
2015-02-25,238.59
2015-02-28,252.98
2015-03-03,275.8
2015-03-06,272.12
2015-03-09,287.48
2015-03-12,297.39
2015-03-15,283.57
2015-03-18,265.85
2015-03-21,257.83
2015-03-24,247.83
2015-03-27,248.63
2015-03-30,245.18
2015-04-02,252.44
2015-04-05,257.03
2015-04-08,245.89
2015-04-11,236.7
2015-04-14,216.0
2015-04-17,222.67
2015-04-20,224.63
2015-04-23,235.48
2015-04-26,218.42
2015-04-29,225.69
2015-05-02,234.13
2015-05-05,234.66
2015-05-08,244.72
2015-05-11,244.19
2015-05-14,238.32
2015-05-17,235.78
2015-05-20,234.6
2015-05-23,238.77
2015-05-26,235.94
2015-05-29,235.87
2015-06-01,222.4
2015-06-04,225.54
2015-06-07,222.6
2015-06-10,228.01
2015-06-13,230.22
2015-06-16,245.35
2015-06-19,246.45
2015-06-22,246.35
2015-06-25,241.92
2015-06-28,248.76
2015-07-01,257.85
2015-07-04,257.92
2015-07-07,267.26
2015-07-10,286.98
2015-07-13,289.9
2015-07-16,275.76
2015-07-19,276.09
2015-07-22,277.54
2015-07-25,287.12
2015-07-28,295.24
2015-07-31,284.78
2015-08-03,284.39
2015-08-06,277.1
2015-08-09,265.42
2015-08-12,267.89
2015-08-15,265.41
2015-08-18,253.91
2015-08-21,233.59
2015-08-24,213.24
2015-08-27,228.27
2015-08-30,226.47
2015-09-02,230.68
2015-09-05,234.67
2015-09-08,243.08
2015-09-11,239.93
2015-09-14,230.88
2015-09-17,234.0
2015-09-20,230.2
2015-09-23,229.95
2015-09-26,233.76
2015-09-29,237.68
2015-10-02,237.78
2015-10-05,239.22
2015-10-08,243.91
2015-10-11,248.08
2015-10-14,254.6
2015-10-17,269.07
2015-10-20,269.8
2015-10-23,277.43
2015-10-26,284.95
2015-10-29,310.36
2015-11-01,311.5
2015-11-04,437.05
2015-11-07,387.38
2015-11-10,353.58
2015-11-13,332.2
2015-11-16,329.32
2015-11-19,329.0
2015-11-22,322.33
2015-11-25,325.0
2015-11-28,353.88
2015-12-01,359.32
2015-12-04,360.88
2015-12-07,395.58
2015-12-10,415.64
2015-12-13,438.79
2015-12-16,454.43
2015-12-19,461.16
2015-12-22,435.98
2015-12-25,454.98
2015-12-28,423.98
2015-12-31,429.34
2016-01-03,428.13
2016-01-06,430.75
2016-01-09,450.15
2016-01-12,446.66
2016-01-15,391.62
2016-01-18,385.28
2016-01-21,408.0
2016-01-24,404.75
2016-01-27,394.45
2016-01-30,378.24
2016-02-02,373.48
2016-02-05,386.49
2016-02-08,375.8
2016-02-11,376.75
2016-02-14,402.38
2016-02-17,418.04
2016-02-20,439.48
2016-02-23,417.0
2016-02-26,424.34
2016-02-29,436.18
2016-03-03,421.44
2016-03-06,408.86
2016-03-09,413.1
2016-03-12,410.0
2016-03-15,414.78
2016-03-18,408.87
2016-03-21,410.49
2016-03-24,416.47
2016-03-27,426.8
2016-03-30,412.35
2016-04-02,418.07
2016-04-05,421.77
2016-04-08,422.2
2016-04-11,420.69
2016-04-14,423.76
2016-04-17,425.71
2016-04-20,442.34
2016-04-23,451.29
2016-04-26,467.98
2016-04-29,456.16
2016-05-02,443.9
2016-05-05,448.51
2016-05-08,457.82
2016-05-11,452.51
2016-05-14,455.65
2016-05-17,452.89
2016-05-20,441.25
2016-05-23,442.17
2016-05-26,452.49
2016-05-29,512.16
2016-06-01,539.47
2016-06-04,573.74
2016-06-07,577.54
2016-06-10,577.549875
2016-06-13,702.0665
2016-06-16,762.43005
2016-06-19,760.8168
2016-06-22,587.4542375
2016-06-25,664.9068875
2016-06-28,646.378475
2016-07-01,675.1863375
2016-07-04,676.3294375
2016-07-07,636.3588625
2016-07-10,648.0949
2016-07-13,657.4524875
2016-07-16,662.15335
2016-07-19,672.8432
2016-07-22,651.5813625
2016-07-25,654.6954499999999
2016-07-28,655.32875
2016-07-31,628.015375
2016-08-03,565.0516714285715
2016-08-06,588.2312714285714
2016-08-09,588.7753875
2016-08-12,587.7556
2016-08-15,570.1422249999999
2016-08-18,576.0360875
2016-08-21,582.821675
2016-08-24,582.8479875
2016-08-27,571.5419875
2016-08-30,578.616575
2016-09-02,576.218
2016-09-05,608.10975
2016-09-08,627.777875
2016-09-11,608.15855
2016-09-14,612.0847375
2016-09-17,608.006875
2016-09-20,609.74875
2016-09-23,604.2225
2016-09-26,608.1469625
2016-09-29,606.36375
2016-10-02,610.5189124999999
2016-10-05,612.3522875
2016-10-08,618.046
2016-10-11,639.30995
2016-10-14,639.5656428571428
2016-10-17,638.1833875
2016-10-20,630.22705
2016-10-23,653.0028625
2016-10-26,672.2214125
2016-10-29,714.89545
2016-11-01,728.2068875
2016-11-04,703.6940875
2016-11-07,703.819
2016-11-10,713.690125
2016-11-13,701.901125
2016-11-16,736.9143750000001
2016-11-19,750.030875
2016-11-22,748.749375
2016-11-25,739.786125
2016-11-28,733.0521249999999
2016-12-01,752.246125
2016-12-04,764.81625
2016-12-07,766.1166375
2016-12-10,773.40125
2016-12-13,778.4935
2016-12-16,781.5683750000001
2016-12-19,789.524125
2016-12-22,860.599875
2016-12-25,886.9003749999999
2016-12-28,967.480375
2016-12-31,959.879875
2017-01-03,1023.141875
2017-01-06,883.099175
2017-01-09,894.18025
2017-01-12,803.372375
2017-01-15,822.2076
2017-01-18,874.9949625
2017-01-21,920.4479
2017-01-24,890.320225
2017-01-27,919.27975
2017-01-30,921.1793250000001
2017-02-02,1007.6137125
2017-02-05,1014.837725
2017-02-08,1052.3766125
2017-02-11,1008.8466625
2017-02-14,1011.78025
2017-02-17,1055.53685
2017-02-20,1084.7550125
2017-02-23,1172.01715
2017-02-26,1175.0497500000001
2017-03-01,1222.4994000000002
2017-03-04,1267.0272
2017-03-07,1238.4470000000001
2017-03-10,1098.6171285714286
2017-03-13,1239.816225
2017-03-16,1180.945657142857
