Time,Water flow [l/s]
2022-03-20T11:00:00+01:00,100.59
2022-03-20T12:00:00+01:00,100.89
2022-03-20T13:00:00+01:00,100.88
2022-03-20T14:00:00+01:00,101.34
2022-03-20T15:00:00+01:00,101.46
2022-03-20T16:00:00+01:00,101.23
2022-03-20T17:00:00+01:00,100.98
2022-03-20T18:00:00+01:00,100.9
2022-03-20T19:00:00+01:00,100.75
2022-03-20T20:00:00+01:00,100.96
2022-03-20T21:00:00+01:00,101.05
2022-03-20T22:00:00+01:00,101.15
2022-03-20T23:00:00+01:00,101.04
2022-03-21T00:00:00+01:00,100.57
2022-03-21T01:00:00+01:00,100.28
2022-03-21T02:00:00+01:00,100.36
2022-03-21T03:00:00+01:00,100.3
2022-03-21T04:00:00+01:00,100.74
2022-03-21T05:00:00+01:00,100.66
2022-03-21T06:00:00+01:00,101.15
2022-03-21T07:00:00+01:00,101.66
2022-03-21T08:00:00+01:00,101.99
2022-03-21T09:00:00+01:00,102.11
2022-03-21T10:00:00+01:00,101.84
2022-03-21T11:00:00+01:00,101.66
2022-03-21T12:00:00+01:00,101.15
2022-03-21T13:00:00+01:00,100.64
2022-03-21T14:00:00+01:00,100.52
2022-03-21T15:00:00+01:00,100.8
2022-03-21T16:00:00+01:00,100.91
2022-03-21T17:00:00+01:00,101.24
2022-03-21T18:00:00+01:00,101.53
2022-03-21T19:00:00+01:00,101.5
2022-03-21T20:00:00+01:00,100.85
2022-03-21T21:00:00+01:00,100.68
2022-03-21T22:00:00+01:00,100.63
2022-03-21T23:00:00+01:00,100.78
2022-03-22T00:00:00+01:00,100.66
2022-03-22T01:00:00+01:00,100.34
2022-03-22T02:00:00+01:00,100.32
2022-03-22T03:00:00+01:00,100.15
2022-03-22T04:00:00+01:00,100.45
2022-03-22T05:00:00+01:00,100.58
2022-03-22T06:00:00+01:00,101.38
2022-03-22T07:00:00+01:00,101.96
2022-03-22T08:00:00+01:00,102.06
2022-03-22T09:00:00+01:00,100.77
2022-03-22T10:00:00+01:00,100.16
2022-03-22T11:00:00+01:00,100.01
2022-03-22T12:00:00+01:00,100.46
2022-03-22T13:00:00+01:00,100.8
2022-03-22T14:00:00+01:00,101.17
2022-03-22T15:00:00+01:00,101.24
2022-03-22T16:00:00+01:00,101.11
2022-03-22T17:00:00+01:00,100.54
2022-03-22T18:00:00+01:00,100.44
2022-03-22T19:00:00+01:00,100.6
2022-03-22T20:00:00+01:00,100.88
2022-03-22T21:00:00+01:00,101.09
2022-03-22T22:00:00+01:00,101.12
2022-03-22T23:00:00+01:00,100.96
2022-03-23T00:00:00+01:00,100.55
2022-03-23T01:00:00+01:00,100.16
2022-03-23T02:00:00+01:00,100.25
2022-03-23T03:00:00+01:00,100.29
2022-03-23T04:00:00+01:00,100.77
2022-03-23T05:00:00+01:00,100.92
2022-03-23T06:00:00+01:00,101.15
2022-03-23T07:00:00+01:00,101.12
2022-03-23T08:00:00+01:00,101.51
