attrib1,attrib2,attrib3,class
8.627911,1.219396,5.97928,1
6.982727,5.653128,4.540896,1
6.584307,2.010883,9.977625,0
2.561163,4.702918,3.653717,0
5.7503,0.97654,1.972562,0
6.252429,8.93462,5.160544,1
1.09793,0.036924,4.556014,0
3.633676,5.911078,8.11549,1
1.144367,4.473944,0.193026,0
9.8042,4.701873,8.476979,1
0.547871,0.384723,6.785694,0
6.896272,5.579672,6.159286,1
9.613293,0.199777,0.532438,1
8.139158,1.073326,3.360872,1
1.433294,4.281138,0.666386,0
3.309609,2.590516,6.261485,0
9.537383,0.092798,8.510968,1
8.490236,5.05015,9.29343,1
6.437878,0.526846,0.379957,1
4.941007,8.369546,3.318597,1
6.454625,8.150519,0.745635,1
2.620017,0.892143,6.660377,0
5.694002,5.205318,2.394857,1
3.064964,3.006367,0.627736,0
6.515766,4.317104,8.102893,1
9.287459,9.498588,1.216364,1
7.999732,7.778134,6.829842,0
7.204377,9.263367,5.989976,1
8.700285,0.860589,5.053181,1
9.175394,9.202919,7.272549,1
6.966766,5.384372,7.376842,1
6.190433,2.274685,4.711003,0
2.587561,3.017339,8.443367,0
5.616097,6.847096,2.249994,1
7.333748,0.023339,5.030627,0
8.746786,2.423773,2.002488,1
8.848189,3.528284,9.999372,1
9.967679,6.755902,5.479336,1
5.067292,7.178902,8.341037,1
9.596128,1.320291,8.524884,1
7.346433,0.536876,5.039797,1
7.942544,5.386461,7.381893,1
8.707179,2.357649,3.737828,1
1.716793,8.560452,2.286208,1
0.687489,0.602582,6.264608,0
9.377218,0.681342,4.651981,1
0.225682,9.948521,7.242898,1
1.309698,7.481434,3.144281,0
2.532697,7.964082,0.192266,1
3.010977,8.295758,0.831314,1
9.715758,8.223338,1.363249,1
8.031456,6.185364,9.16773,0
1.340838,9.040229,4.43406,1
3.802939,6.285279,5.124327,0
6.96971,4.609741,2.652198,1
3.961385,0.330906,7.103667,0
3.141886,8.079951,4.064843,1
9.501612,6.008779,0.692305,0
3.648212,6.472983,0.057041,1
4.04568,3.533487,8.280782,0
6.247219,8.179015,2.892234,1
6.768853,8.994094,4.572102,1
5.677594,7.402127,7.177773,1
2.942266,1.485281,1.142987,0
6.652561,8.105243,1.428167,1
3.67729,7.497395,7.223767,1
6.877917,5.739537,2.602083,1
6.409455,6.253759,8.051634,1
3.470545,2.766222,4.282347,0
3.215512,4.220993,0.29582,0
0.96134,7.119003,7.933321,0
3.869125,6.636834,6.398553,1
7.681418,6.18553,9.950706,1
2.261752,3.992064,6.126469,0
1.014035,2.854928,8.586437,0
5.352952,0.281532,7.916197,0
6.424278,4.714479,0.455736,1
7.880912,5.593538,3.736592,1
8.668675,0.889088,5.206301,1
4.624237,9.693089,9.427278,1
6.047562,3.304543,4.871126,1
0.662078,4.919448,0.422447,0
1.390216,0.857626,5.196602,0
8.367877,0.797998,8.31051,1
5.244947,4.127892,2.760366,1
5.888206,4.33492,9.673257,1
6.856056,2.862983,2.587674,1
2.560563,2.746842,5.43116,0
0.33915,9.005612,2.276825,1
2.704437,6.784381,9.015094,1
1.252119,4.365976,7.788709,0
3.669578,6.863677,2.048564,1
6.627458,1.049596,4.878828,0
9.057991,4.632625,1.855921,1
0.587173,7.863552,5.853452,0
7.472638,1.624876,8.714889,0
6.624422,6.927998,9.04373,1
