# SETUP BEGIN
# File Stream: file_name: ../datasets/sea_big.csv  -  num_classes: 2  -  num_classification_tasks: 1
# Prequential Evaluator: n_wait: 10 - max_instances: 40000 - max_time: 1000 - output_file: log2.csv - batch_size: 1 - pretrain_size: 0 - task_type: classification - show_plotTrue - plot_options: ['kappa', 'kappa_t', 'performance']
# SETUP END
x_count,global_performance_0,sliding_window_performance_0,global_kappa_0,sliding_window_kappa_0,global_kappa_t_0,sliding_window_kappa_t_0
10,0.4,0.4,-0.25,-0.25,0.25,0.25
20,0.5,0.6,0.0,0.091,0.091,-0.333
30,0.467,0.4,-0.106,-0.429,0.059,0.0
40,0.475,0.5,-0.099,-0.087,0.0,-0.25
50,0.52,0.7,-0.034,0.211,0.04,0.25
60,0.5,0.4,-0.053,-0.2,0.143,0.4
70,0.486,0.4,-0.082,-0.25,0.053,-1.0
80,0.5,0.6,-0.047,0.2,0.024,-0.333
90,0.5,0.5,-0.054,-0.087,0.022,0.0
100,0.53,0.8,0.01,0.583,0.113,0.714
110,0.536,0.6,0.032,0.2,0.121,0.2
120,0.567,0.9,0.12,0.615,0.161,0.75
130,0.577,0.7,0.145,0.4,0.167,0.25
140,0.579,0.6,0.157,-0.176,0.169,0.2
150,0.593,0.8,0.181,0.375,0.164,0.0
160,0.588,0.5,0.17,0.0,0.165,0.167
170,0.571,0.3,0.138,-0.4,0.161,0.125
180,0.561,0.4,0.116,-0.429,0.151,0.0
190,0.568,0.7,0.125,0.211,0.155,0.25
200,0.56,0.4,0.109,-0.2,0.154,0.143
210,0.562,0.6,0.114,0.2,0.14,-0.333
220,0.559,0.5,0.106,-0.087,0.134,0.0
230,0.552,0.4,0.097,-0.364,0.142,0.25
240,0.558,0.7,0.111,0.4,0.145,0.25
250,0.556,0.5,0.107,0.0,0.153,0.286
260,0.562,0.7,0.118,0.4,0.156,0.25
270,0.552,0.3,0.097,-0.522,0.154,0.125
280,0.55,0.5,0.094,0.0,0.149,0.0
290,0.552,0.6,0.099,0.2,0.15,0.2
300,0.557,0.7,0.11,0.4,0.147,0.0
310,0.558,0.6,0.112,0.2,0.149,0.2
320,0.562,0.7,0.122,0.4,0.152,0.25
330,0.564,0.6,0.124,0.2,0.148,0.0
340,0.565,0.6,0.126,0.167,0.154,0.333
350,0.566,0.6,0.125,-0.25,0.151,0.0
360,0.572,0.8,0.141,0.545,0.158,0.5
370,0.573,0.6,0.143,0.2,0.155,0.0
380,0.571,0.5,0.138,0.0,0.151,0.0
390,0.577,0.8,0.149,0.524,0.158,0.5
400,0.58,0.7,0.156,0.348,0.156,0.0
410,0.588,0.9,0.169,0.615,0.167,0.75
420,0.59,0.7,0.175,0.4,0.177,0.5
430,0.591,0.6,0.175,0.167,0.181,0.333
440,0.593,0.7,0.181,0.348,0.194,0.571
450,0.596,0.7,0.186,0.348,0.191,0.0
460,0.593,0.5,0.182,0.0,0.187,0.0
470,0.594,0.6,0.183,0.231,0.187,0.2
480,0.594,0.6,0.184,0.2,0.191,0.333
490,0.598,0.8,0.192,0.583,0.199,0.6
500,0.602,0.8,0.201,0.583,0.21,0.667
510,0.602,0.6,0.2,0.048,0.216,0.429
520,0.602,0.6,0.201,0.2,0.219,0.333
530,0.606,0.8,0.208,0.6,0.22,0.333
540,0.606,0.6,0.21,0.091,0.22,0.2
550,0.609,0.8,0.216,0.545,0.221,0.333
560,0.612,0.8,0.222,0.6,0.222,0.333
570,0.611,0.5,0.217,-0.316,0.218,0.0
580,0.607,0.4,0.211,-0.2,0.216,0.143
590,0.608,0.7,0.214,0.4,0.225,0.571
600,0.608,0.6,0.214,0.167,0.222,0.0
610,0.608,0.6,0.214,0.231,0.221,0.2
620,0.611,0.8,0.219,0.375,0.225,0.5
