# SETUP BEGIN
# Waveform Generator: num_classes: 3  -  num_numerical_attributes: 21  -  num_nominal_attributes: 0  -  add_noise: False  -  random_seed: 23
# EvaluateHoldout: n_wait: 5000 - max_instances: 100000 - max_time: 1000 - output_file: teste_2.csv - batch_size: 1 - pretrain_size: 2000 - test_size: 2000 - task_type: classification - show_plotTrue - plot_options: ['kappa'] - dynamic_test_set: True
# SETUP END
x_count,global_kappa_0,sliding_window_kappa_0,global_kappa_1,sliding_window_kappa_1
5000,0.682,0.682,0.774,0.774
10000,0.707,0.707,0.748,0.748
15000,0.721,0.729,0.749,0.747
20000,0.681,0.67,0.747,0.739
25000,0.688,0.659,0.744,0.739
30000,0.695,0.689,0.743,0.734
35000,0.681,0.672,0.743,0.737
40000,0.679,0.65,0.745,0.745
45000,0.686,0.678,0.747,0.756
50000,0.692,0.734,0.747,0.759
55000,0.699,0.754,0.748,0.754
60000,0.703,0.753,0.746,0.748
65000,0.707,0.752,0.746,0.743
70000,0.707,0.736,0.746,0.739
75000,0.708,0.725,0.743,0.727
80000,0.712,0.743,0.742,0.724
85000,0.715,0.764,0.743,0.737
90000,0.718,0.767,0.742,0.741
95000,0.72,0.764,0.742,0.737
