feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,target
19.8,14.0,1019.6,8.4,9.9,15.9,28.9,14.0,0
26.8,22.2,1006.2,8.1,10.9,19.0,34.0,21.0,0
34.6,32.9,1004.6,3.9,13.8,22.0,36.0,33.1,1
26.4,21.5,1006.9,8.0,18.7,30.1,39.9,16.0,1
14.7,7.9,1009.9,8.1,14.1,22.0,21.0,9.0,0
30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19.0,0
37.2,30.2,1012.2,10.7,8.1,17.1,50.0,30.9,0
36.3,30.1,1002.8,9.7,6.0,17.1,43.0,30.9,0
14.9,10.8,1025.6,8.0,19.8,26.0,32.0,7.0,0
10.4,5.3,1039.9,4.8,14.7,19.0,12.9,9.0,0
15.3,12.0,1038.9,2.6,9.2,10.1,19.9,9.0,1
17.8,11.9,1030.4,9.2,6.6,10.1,24.1,10.0,1
19.7,13.6,1019.1,11.8,5.0,10.1,37.0,10.9,0
23.9,20.8,1016.4,4.3,5.1,10.1,34.0,15.1,0
36.7,36.4,1003.8,1.0,6.6,15.0,39.0,34.0,1
18.4,12.5,1022.8,7.8,18.7,26.0,35.1,9.0,0
7.0,-0.1,1032.4,9.6,10.7,22.0,18.0,1.0,0
17.8,11.9,1018.3,7.5,10.1,22.9,23.0,10.0,0
8.5,-0.8,1031.4,8.5,12.7,22.0,16.0,0.0,0
10.2,2.7,1032.0,6.9,13.5,22.0,17.1,6.1,0
10.4,6.6,1023.8,5.3,9.7,15.9,18.0,1.9,1
4.8,-0.6,1030.1,4.4,7.2,10.1,19.0,-5.1,1
28.8,28.2,1018.6,0.9,9.7,18.1,34.0,19.9,1
6.4,0.7,1031.6,5.4,18.0,22.0,18.0,0.0,1
2.8,-2.8,1039.0,4.9,14.2,18.1,7.0,1.0,0
8.2,3.3,1032.6,8.1,10.0,13.0,17.1,3.0,0
18.6,14.8,1018.0,4.1,9.3,26.0,19.9,16.0,1
9.0,4.8,1021.8,3.5,22.1,31.1,18.0,1.9,0
-2.5,-9.8,1041.6,11.5,10.9,13.0,1.9,-8.0,0
-2.6,-11.8,1032.2,14.9,12.1,22.9,12.0,-11.0,0
12.1,6.8,1020.7,10.8,7.8,13.0,30.9,3.9,0
10.4,3.9,1029.1,11.4,8.3,17.1,21.0,0.0,0
1.3,-5.9,1032.5,9.1,11.0,17.1,15.1,-7.1,0
22.3,18.5,1017.2,5.1,10.3,15.9,25.0,10.9,1
5.6,0.2,1020.8,5.5,9.7,12.0,16.0,-5.1,0
18.1,14.5,1016.9,4.7,9.0,15.9,28.0,10.9,1
19.3,16.2,1013.6,8.1,11.5,22.0,28.9,9.0,1
20.9,15.6,1008.7,10.9,9.7,17.1,36.0,9.0,0
23.3,18.0,1007.5,14.2,12.8,26.0,34.0,14.0,0
17.7,10.5,1018.5,12.5,6.6,17.1,39.0,6.1,0
13.0,5.8,1026.7,13.8,13.1,26.0,30.9,-0.9,0
30.7,26.0,1012.9,11.6,12.9,17.1,43.0,19.9,0
25.3,21.9,1010.2,7.5,12.0,22.0,42.1,14.0,0
7.9,4.0,1025.1,6.2,14.7,22.0,12.9,3.9,0
7.5,2.8,1020.9,6.7,6.8,11.1,17.1,1.9,0
15.3,9.2,1011.0,10.0,7.0,12.0,35.1,1.0,0
24.8,16.1,1019.3,12.5,9.6,17.1,32.0,16.0,0
28.8,20.8,1020.8,12.5,8.3,15.9,44.1,15.1,0
38.0,33.0,1014.1,12.8,13.6,22.0,44.1,26.1,0
17.3,9.7,1023.5,8.7,8.5,14.0,25.0,12.0,0
15.1,10.1,1032.6,8.7,8.2,8.9,23.0,8.1,1
23.9,20.0,1027.5,5.0,3.5,8.9,30.0,21.0,1
29.4,28.0,1025.6,6.8,5.0,10.1,34.0,26.1,0
34.8,32.8,1019.7,8.2,9.0,10.1,42.1,30.9,1
33.4,29.4,1017.2,8.5,14.0,28.0,43.0,25.0,0
25.2,18.5,1028.6,9.1,7.4,17.1,37.0,17.1,0
33.0,29.0,1023.2,9.6,4.6,10.1,39.0,30.0,0
29.4,26.8,1024.0,7.6,12.8,17.1,34.0,26.1,0
21.6,17.3,1032.5,12.4,8.3,17.1,28.0,14.0,0
24.3,20.3,1027.9,11.1,3.5,13.0,37.0,17.1,0
35.0,30.5,1023.8,11.1,7.7,12.0,44.1,28.9,0
35.9,32.6,1022.0,7.2,8.5,13.0,42.1,30.9,1
42.3,37.3,1013.5,7.4,1.9,8.9,57.9,30.9,0
41.9,36.1,1010.4,8.3,7.0,13.0,50.0,34.0,0
36.6,31.8,1019.9,9.4,8.2,17.1,43.0,33.1,1
35.2,31.5,1020.8,10.0,8.3,22.0,46.0,28.9,0
36.2,33.5,1011.2,6.9,8.8,26.0,43.0,30.9,1
30.0,27.3,1019.0,8.6,17.6,22.0,35.1,25.0,0
26.7,20.9,1025.1,10.4,10.1,15.0,32.0,21.0,0
24.4,18.0,1025.1,10.4,7.7,13.0,30.0,18.0,0
30.9,25.5,1020.1,10.9,4.6,15.9,39.0,26.1,0
33.2,28.6,1023.1,6.3,4.0,11.1,37.0,30.0,1
28.0,23.7,1028.2,5.4,11.7,17.1,33.1,19.0,0
13.9,5.3,1034.3,9.5,9.6,22.0,24.1,7.0,0
27.7,21.5,1022.5,11.1,8.8,14.0,37.0,23.0,0
27.6,21.3,1022.7,8.4,7.9,13.0,36.0,21.0,0
28.6,21.8,1026.3,11.1,8.0,10.1,39.9,21.9,0
32.5,26.2,1025.8,9.6,10.7,20.0,39.9,28.0,0
44.7,36.7,1011.9,10.2,16.3,26.0,68.0,33.1,0
48.2,43.2,1004.4,6.2,14.2,26.0,62.1,37.0,1
35.3,32.4,1011.8,4.9,16.4,22.0,39.0,33.1,1
36.3,33.4,1012.3,6.0,12.5,22.0,48.9,32.0,0
54.1,45.5,998.7,9.2,18.9,35.0,68.0,46.0,0
45.3,34.1,1011.5,11.5,11.5,22.0,59.0,34.0,0
46.5,42.2,1006.8,7.6,12.3,25.1,53.1,42.1,1
46.2,38.8,1001.4,11.1,13.3,26.0,63.0,37.0,1
50.7,34.3,1008.9,12.3,6.3,26.0,69.1,37.9,0
42.8,38.9,1016.4,7.7,16.4,26.0,59.0,39.9,1
43.2,40.1,1008.3,6.6,17.4,26.0,57.0,39.0,1
39.7,35.5,1005.7,9.2,16.2,22.0,54.0,35.1,1
37.8,30.0,1020.2,9.6,9.8,22.9,48.9,28.9,0
40.9,31.4,1019.2,10.4,7.0,15.9,46.9,35.1,0
43.0,31.9,1020.4,11.4,5.8,13.0,53.1,36.0,0
43.1,32.9,1023.0,8.0,3.8,13.0,57.0,30.0,0
45.6,34.0,1015.2,12.5,10.1,20.0,57.9,33.1,0
52.3,34.9,1008.1,14.3,9.9,22.0,68.0,39.9,0
55.3,37.7,1013.6,12.3,7.7,22.0,70.0,45.0,0
50.5,33.2,1016.7,9.8,5.3,15.9,64.0,35.1,0
51.6,33.8,1018.2,12.1,13.7,20.0,57.9,46.0,1
47.2,36.3,1021.2,8.7,12.6,18.1,52.0,45.0,1
49.4,29.0,1021.3,11.2,8.6,13.0,68.0,34.0,0
55.7,36.3,1012.2,9.9,6.2,14.0,73.9,37.9,0
59.9,43.9,1003.5,9.3,8.0,17.1,73.9,48.0,0
44.4,38.3,1003.3,5.5,20.5,30.1,70.0,33.1,1
36.9,30.5,1021.4,11.8,17.0,26.0,45.0,33.1,0
42.1,33.9,1019.5,11.3,9.2,22.0,62.1,30.9,0
53.7,39.5,1010.3,11.8,15.4,30.1,61.0,44.1,0
41.8,27.0,1021.4,14.1,12.0,22.0,54.0,30.0,0
46.8,31.5,1023.9,13.5,10.2,17.1,64.0,34.0,0
57.8,37.5,1018.9,12.2,14.2,26.0,72.0,50.0,1
56.3,47.0,1012.8,9.7,13.3,17.1,66.9,50.0,1
56.9,45.5,1014.1,11.7,3.0,14.0,72.0,48.0,0
59.5,38.9,1018.6,13.0,8.1,15.9,77.0,41.0,0
56.0,36.1,1019.5,13.2,12.8,17.1,75.9,41.0,0
69.7,47.3,1013.6,13.3,14.4,26.0,88.0,54.0,0
68.4,53.5,1014.5,10.9,12.5,22.0,82.0,55.9,1
62.8,43.3,1022.0,9.8,9.5,18.1,73.0,54.0,0
60.5,39.8,1024.1,10.9,7.6,15.9,73.0,46.9,0
64.1,41.8,1017.3,13.9,10.1,17.1,78.1,51.1,0
66.0,46.4,1007.9,11.5,14.1,26.0,77.0,54.0,1
56.8,49.1,1001.0,9.5,14.2,22.0,64.9,50.0,1
61.6,42.0,1010.7,12.1,8.7,15.9,82.9,45.0,0
74.8,64.1,1011.0,12.6,16.3,30.1,91.0,61.0,0
79.0,69.3,1011.6,7.1,19.2,26.0,86.0,72.0,0
76.6,68.5,1012.5,13.4,16.0,22.0,84.9,69.1,1
62.0,56.8,1021.1,11.5,11.5,15.9,77.0,57.0,1
61.2,54.3,1021.8,12.3,9.1,17.1,68.0,54.0,0
57.6,54.3,1013.9,7.8,9.1,22.0,66.9,53.1,1
56.7,50.9,1015.1,8.1,13.3,19.0,70.0,48.9,1
61.2,52.7,1021.6,11.8,4.7,10.1,70.0,52.0,0
63.6,55.9,1021.0,13.0,4.3,10.1,75.9,51.1,0
70.0,61.9,1018.7,11.6,7.3,10.1,84.9,57.0,0
71.5,62.2,1014.6,10.6,6.4,15.0,84.0,57.9,0
71.7,64.6,1014.8,9.5,4.6,13.0,82.0,62.1,0
66.4,60.7,1014.7,10.7,5.4,13.0,75.0,60.1,1
68.1,64.0,1011.7,8.3,10.8,22.9,75.9,64.0,1
70.5,64.1,1010.0,10.3,14.3,26.0,80.1,63.0,1
70.5,62.7,1008.2,13.8,11.9,22.9,77.0,64.0,0
58.0,53.2,1015.0,8.9,6.0,15.9,75.0,52.0,1
57.5,51.7,1015.6,10.3,2.8,13.0,70.0,53.1,0
61.7,58.1,999.0,7.4,10.2,22.0,68.0,57.9,1
60.3,55.0,1006.3,7.0,5.9,13.0,70.0,54.0,1
62.0,56.3,1012.7,10.9,2.7,13.0,68.0,54.0,1
53.7,45.0,1021.5,11.4,2.4,13.0,64.9,43.0,0
64.9,55.9,1016.9,13.9,4.5,13.0,82.0,54.0,1
67.0,54.9,1016.1,12.8,9.4,15.0,77.0,57.0,0
70.1,60.4,1013.3,11.7,5.4,10.1,82.9,60.1,1
72.0,60.3,1013.6,12.1,7.0,8.9,82.0,60.1,0
71.2,65.0,1011.3,10.8,11.3,15.9,80.1,64.0,0
72.2,64.9,1010.6,11.2,14.5,18.1,82.0,66.0,1
75.9,68.1,1008.7,11.6,10.6,22.0,86.0,66.9,0
76.7,68.9,1004.1,11.9,17.5,27.0,84.0,69.1,1
69.7,63.6,1004.4,9.7,9.2,20.0,81.0,62.1,1
70.5,61.5,1015.3,14.9,3.4,8.9,78.1,62.1,0
68.8,61.8,1020.4,10.5,3.4,13.0,73.9,62.1,0
69.5,61.4,1019.4,13.3,3.7,12.0,79.0,63.0,0
74.5,65.4,1014.8,11.8,3.0,12.0,88.0,64.0,0
65.5,54.4,1016.3,10.4,10.3,20.0,82.0,55.9,1
65.5,60.3,1016.6,10.6,10.6,22.0,77.0,57.9,1
68.4,63.7,1018.0,11.1,11.7,15.0,75.9,62.1,0
71.8,66.6,1019.1,10.2,1.5,8.9,82.9,63.0,0
74.6,68.3,1014.3,9.4,0.4,5.1,84.9,64.0,0
77.5,72.0,1007.7,11.1,5.4,13.0,84.9,70.0,0
70.0,67.2,1007.2,7.0,6.1,13.0,84.0,66.0,1
67.7,61.9,1008.6,9.9,8.2,13.0,73.9,60.1,1
69.2,62.6,1012.7,12.3,1.4,8.9,84.0,55.9,0
75.3,65.7,1010.0,13.6,11.5,17.1,87.1,64.9,0
78.5,69.6,1007.5,14.9,13.1,22.0,90.0,66.0,0
73.2,67.8,1014.4,8.3,13.0,26.0,88.0,64.9,1
73.9,69.7,1016.8,5.2,7.2,8.9,84.9,68.0,0
82.1,74.7,1009.5,9.7,10.6,14.0,95.0,73.9,0
76.9,67.3,1013.4,11.2,8.9,26.0,90.0,70.0,1
75.5,65.8,1013.7,13.8,9.3,25.1,88.0,66.9,1
77.5,71.5,1005.4,12.0,15.0,25.1,96.1,66.9,1
70.8,68.7,1003.2,9.8,4.0,13.0,75.9,66.9,1
74.6,69.6,1002.3,10.4,6.3,20.0,89.1,64.9,0
81.7,74.1,1007.3,13.3,9.2,18.1,90.0,73.9,0
78.3,73.0,1008.7,12.6,10.8,15.0,88.0,69.1,1
74.6,69.1,1014.0,11.7,7.5,17.1,84.9,68.0,1
77.8,70.0,1014.4,12.9,11.1,25.1,88.0,64.9,1
85.5,75.8,1012.8,11.8,13.5,18.1,96.1,77.0,0
84.8,75.8,1017.3,12.8,6.0,20.0,93.0,75.9,0
82.6,72.8,1019.8,13.7,9.6,13.0,93.9,73.9,0
86.6,75.9,1015.9,11.9,9.1,13.0,95.0,78.1,0
85.0,76.1,1013.2,6.7,8.7,13.0,91.9,75.0,0
81.8,73.4,1011.5,11.0,7.2,15.9,90.0,73.0,0
82.3,73.8,1009.0,12.3,5.5,10.1,91.9,72.0,1
79.6,72.1,1011.2,11.0,5.1,10.1,90.0,73.0,1
82.0,75.1,1013.3,9.6,7.4,19.0,90.0,75.9,1
75.7,69.6,1018.1,9.4,11.1,20.0,84.9,70.0,1
74.5,59.0,1022.4,14.9,7.9,13.0,84.0,63.0,0
74.0,61.7,1019.0,14.9,3.4,8.9,81.0,64.9,0
75.1,66.3,1015.6,11.1,4.2,11.1,86.0,64.0,0
74.7,67.8,1014.2,7.6,3.1,13.0,84.0,66.0,1
68.6,63.4,1013.3,10.4,11.0,15.9,73.0,64.0,1
73.2,63.2,1016.2,11.9,2.6,8.9,82.9,64.0,0
72.8,63.1,1015.3,11.7,3.6,14.0,84.0,60.1,0
76.0,64.5,1009.1,11.2,11.5,22.0,87.1,64.9,1
81.5,69.1,1005.6,10.1,9.0,22.9,91.9,71.1,0
78.0,62.4,1011.8,11.3,6.7,13.0,90.0,64.9,0
77.9,68.6,1007.8,12.5,15.3,22.0,86.0,69.1,1
78.6,67.1,1008.7,12.2,13.4,22.0,84.0,73.0,1
73.2,61.2,1017.7,12.0,4.7,13.0,86.0,60.1,0
75.4,67.9,1017.7,12.5,7.4,15.9,87.1,69.1,1
82.4,73.6,1015.5,14.0,11.8,18.1,91.9,73.9,0
83.1,74.0,1012.0,12.9,12.7,17.1,93.0,73.9,0
82.8,76.6,1009.2,13.3,10.8,17.1,90.0,75.0,1
77.6,74.0,1009.0,11.8,14.1,22.0,84.9,72.0,1
82.4,77.6,1010.8,12.9,12.5,17.1,91.9,75.0,0
77.5,72.3,1016.1,12.1,8.5,22.0,90.0,69.1,1
67.9,60.7,1021.0,14.1,6.2,10.1,78.1,55.9,0
72.6,63.8,1019.4,11.7,5.9,17.1,86.0,62.1,0
76.3,69.7,1012.7,13.4,10.5,17.1,82.0,68.0,1
69.0,60.8,1017.0,11.1,10.2,22.0,80.1,57.0,0
70.3,61.3,1019.2,10.7,2.2,8.9,82.0,55.9,0
72.8,63.0,1020.0,12.3,3.0,11.1,84.9,57.9,0
77.1,67.5,1018.9,13.1,8.7,13.0,90.0,64.9,0
79.5,68.9,1018.5,11.4,5.1,10.1,91.9,66.0,0
81.1,71.2,1017.8,12.0,5.9,13.0,91.9,70.0,0
81.8,73.3,1014.2,13.6,10.9,18.1,91.0,70.0,0
79.0,71.7,1012.4,14.2,10.5,17.1,89.1,72.0,1
77.0,71.8,1012.5,10.0,8.6,14.0,84.9,72.0,1
81.7,74.7,1013.0,12.8,8.6,15.9,93.0,72.0,0
82.4,75.9,1012.4,13.7,7.3,22.0,93.0,72.0,1
78.7,74.1,1012.8,13.3,9.9,17.1,88.0,72.0,1
75.7,71.2,1013.5,8.4,5.0,13.0,84.0,71.1,0
77.5,72.7,1014.6,4.3,4.1,8.9,86.0,72.0,1
78.3,72.7,1015.4,3.7,1.7,8.9,91.9,70.0,0
77.0,69.0,1015.1,8.5,4.8,13.0,87.1,69.1,1
74.4,69.3,1013.1,8.8,3.2,10.1,82.9,69.1,1
68.5,66.5,1010.0,6.2,5.9,15.9,79.0,64.9,1
66.7,58.6,1020.1,11.0,8.0,15.0,75.0,60.1,1
66.3,57.3,1022.5,11.8,4.1,12.0,77.0,55.9,0
69.7,60.9,1019.1,12.2,8.3,15.0,82.9,59.0,0
73.3,61.8,1015.6,14.0,8.5,15.9,88.0,60.1,0
75.8,63.5,1015.3,14.5,10.3,22.0,89.1,64.0,0
76.6,65.0,1017.1,12.4,9.9,15.9,89.1,64.9,0
78.3,64.6,1014.5,11.2,11.2,17.1,90.0,66.0,0
70.6,64.7,1015.8,9.6,2.5,13.0,81.0,66.0,1
69.6,59.9,1017.6,10.4,3.1,8.9,82.9,57.0,0
73.5,61.0,1016.4,12.0,4.2,12.0,86.0,64.0,0
68.8,57.5,1016.6,11.7,6.8,13.0,79.0,59.0,1
63.8,49.5,1016.8,12.8,7.8,27.0,73.0,55.0,0
60.6,47.3,1022.0,12.3,5.8,13.0,78.1,45.0,0
66.9,50.9,1017.1,14.3,11.0,17.1,82.0,53.1,0
75.4,62.2,1010.2,12.2,14.2,22.0,86.0,66.9,0
68.7,62.4,1007.7,11.9,9.5,15.0,80.1,62.1,1
63.7,56.5,1016.9,13.2,7.7,15.0,73.0,54.0,0
63.9,57.7,1017.7,11.2,8.3,20.0,71.1,57.9,1
62.9,58.0,1018.9,9.8,7.3,18.1,64.9,60.1,1
59.5,51.5,1023.5,9.7,2.2,8.9,73.0,51.1,1
60.9,52.8,1023.2,9.6,2.6,10.1,75.9,48.9,0
60.6,55.6,1016.7,9.0,9.2,22.0,70.0,57.9,1
66.0,61.0,1007.8,9.6,13.2,19.0,75.0,60.1,1
64.9,62.0,1010.7,7.8,7.5,22.9,72.0,54.0,1
50.3,44.7,1023.5,11.7,10.2,22.0,64.9,37.9,0
55.0,50.3,1022.4,11.9,3.1,13.0,62.1,48.9,0
56.4,49.9,1018.3,12.5,10.4,22.0,70.0,46.0,0
62.1,57.3,1011.2,12.8,13.2,22.0,77.0,53.1,0
66.1,60.8,1008.7,11.0,7.5,17.1,75.9,60.1,1
63.1,56.4,1014.9,10.9,3.6,15.0,77.0,46.0,0
60.8,50.0,1021.1,12.2,3.5,11.1,81.0,45.0,0
69.4,58.2,1015.7,13.3,10.3,22.9,89.1,55.9,0
65.1,55.6,1019.4,12.4,8.6,15.0,82.0,54.0,0
61.4,49.1,1018.2,12.8,7.8,26.0,72.0,51.1,0
55.9,45.7,1023.3,11.8,6.8,10.1,71.1,41.0,0
58.9,49.4,1022.6,12.0,4.8,17.1,77.0,46.0,0
64.1,54.2,1016.9,14.8,13.2,25.1,78.1,51.1,0
65.8,55.2,1014.9,14.1,11.5,17.1,79.0,57.0,1
57.1,49.3,1018.0,14.7,3.1,15.0,70.0,48.0,0
50.5,44.0,1022.6,12.6,7.3,13.0,62.1,37.9,0
48.6,42.2,1023.0,12.1,4.7,13.0,66.0,33.1,0
56.6,44.5,1020.2,13.4,11.9,26.0,73.0,44.1,0
63.6,49.2,1017.0,14.3,18.6,28.0,73.9,55.9,1
63.4,52.3,1016.5,11.1,10.1,17.1,73.0,54.0,0
68.5,60.1,1014.0,10.5,7.7,13.0,84.0,57.9,0
64.3,55.0,1018.2,14.9,9.5,15.0,77.0,55.0,1
67.3,59.9,1014.5,10.8,10.9,17.1,75.9,63.0,0
65.9,60.9,1005.2,7.5,8.0,13.0,72.0,62.1,1
71.7,64.1,1002.6,13.3,12.3,22.0,87.1,64.9,1
77.1,70.0,1005.0,13.5,18.0,22.0,88.0,66.9,0
58.7,54.4,1016.0,11.9,5.9,20.0,73.0,53.1,0
67.8,59.4,998.8,11.3,17.4,35.0,73.0,59.0,1
57.1,48.5,1010.1,14.0,6.7,22.0,66.0,50.0,1
54.2,45.7,1016.5,12.5,2.3,10.1,77.0,41.0,0
