attrib1,attrib2,attrib3,class
0.080429,8.397187,7.074928,0
1.42074,7.504724,6.764101,0
0.960543,5.168416,8.298959,0
3.367279,6.797711,4.857875,1
9.265933,8.548432,2.460325,1
7.295862,2.373183,3.427656,1
9.289001,3.280215,3.154171,1
0.279599,7.340643,3.729721,0
4.387696,1.97443,6.447183,0
2.933823,7.150514,2.566901,1
4.303049,1.471813,9.078151,0
7.680874,3.160556,5.018175,1
8.381795,2.437667,9.338253,1
4.564883,4.238894,6.651165,0
6.15775,7.713811,7.472715,1
0.230707,5.331819,7.575968,1
1.730616,4.588132,1.32921,0
8.859457,5.518327,9.107487,1
0.51025,8.134116,6.974631,0
8.043017,0.269928,1.057583,0
4.827113,3.028082,1.686047,0
0.995437,8.252343,5.910401,1
7.436814,8.442003,8.157782,1
2.332037,8.917109,8.298285,1
9.33297,9.7839,0.021915,1
1.366493,7.661095,1.735394,1
1.726914,7.366384,5.731543,0
5.376362,4.472634,7.791876,1
8.652451,9.809866,4.798999,0
4.802749,8.392977,1.607304,1
4.441652,6.767869,1.127208,1
7.983292,4.329841,0.497667,1
7.630536,8.872045,2.032159,1
1.177377,7.9206,6.892781,1
8.476513,5.446517,3.764027,1
3.608025,8.1365,3.758194,1
2.490462,4.150373,0.190053,0
8.530096,0.920313,3.399199,1
3.27857,6.753883,5.444724,1
8.448319,6.428409,6.359876,1
5.932256,8.561598,8.337632,1
7.251619,9.507516,1.057885,1
2.837879,4.134263,5.780553,0
3.704804,1.623553,2.885059,0
9.268972,5.271892,1.9713,1
4.185924,7.927413,8.337429,1
2.822591,1.839776,0.540007,0
8.373628,3.674688,6.245483,1
3.998807,8.481527,1.063545,1
8.807762,6.171313,9.147485,1
5.196657,8.929535,1.823827,1
5.619015,7.074975,4.507745,1
2.785272,1.389296,4.324997,0
4.852615,7.824149,6.892581,1
4.00616,4.88619,3.181498,0
1.24936,9.750711,0.267935,1
3.399362,7.564694,2.345009,1
2.190866,7.165749,5.700824,1
3.122291,1.843411,2.609118,0
0.976684,0.557798,7.44646,0
5.690907,9.773151,5.292083,1
7.466298,6.6562,6.209261,1
3.681344,6.564487,6.932417,1
1.954018,3.368491,4.589797,0
8.493635,1.834518,1.416545,1
2.524161,2.037995,6.005327,0
5.579438,0.462516,6.727329,0
0.130821,7.179982,4.812079,0
0.891259,7.287024,4.342474,0
6.242496,0.581746,8.615007,0
7.695114,6.593127,7.72857,1
5.908992,3.228246,8.208355,1
6.310161,0.636285,6.675239,0
4.702682,1.779149,0.349851,0
6.278464,2.636316,2.907095,0
7.681051,9.024644,1.83892,1
2.256871,6.668487,6.865272,0
3.185293,5.931327,9.277098,1
0.131732,0.338628,6.062268,0
3.441239,2.668166,7.730273,0
7.453058,3.794485,5.606654,1
0.09331,7.571199,2.804075,0
6.502839,7.103178,9.094634,1
0.726866,8.185831,9.366341,0
8.873471,3.481473,7.828334,1
1.268103,9.06737,9.957605,0
8.928256,9.754189,9.039876,0
1.712186,8.32429,9.05101,1
6.468383,8.554513,0.042662,1
4.29982,7.750245,6.323056,1
0.221955,4.794888,9.612023,0
3.97528,6.807417,0.600673,1
3.825281,4.263369,9.405469,0
7.211986,3.738379,6.061242,1
2.2586,2.521644,4.301211,0
5.018227,9.081902,5.958233,1
9.837469,2.481522,7.23796,1
7.533137,7.678046,8.563843,1
2.706128,3.420631,2.094048,0
5.364709,2.83328,8.486301,0
3.71126,7.923426,3.355897,1
4.312886,8.788819,1.60214,1
5.208545,6.59247,2.44721,1
7.402941,5.750284,6.46946,1
2.938532,6.741181,8.707097,1
2.496181,5.97376,7.576445,0
8.206195,9.230281,7.280703,1
5.095376,4.171126,5.399443,1
8.736489,9.919759,8.364369,1
1.482031,3.939231,1.334871,0
2.328568,9.091188,5.218,1
9.343405,8.230532,8.192689,0
3.929086,3.376527,8.65644,0
5.249297,4.00496,3.494334,1
2.543366,4.59317,7.056887,0
9.872588,5.153902,5.950454,1
5.301016,2.150434,5.411747,0
2.56412,5.892135,1.101648,0
8.653283,8.749536,3.196692,1
2.782785,5.47155,4.164793,0
2.550595,0.322057,2.175538,0
2.26641,3.671811,1.50006,0
2.675673,8.202326,9.382783,1
2.77274,7.551927,7.440268,1
3.52603,0.839828,0.544604,0
0.085838,1.247778,6.44179,0
9.715751,9.682401,9.284941,1
5.978592,4.222202,0.475966,1
5.343081,8.960674,0.119991,1
1.823697,1.340557,2.67944,0
7.465553,6.325522,2.947877,1
7.432895,3.945496,0.963806,1
1.112335,9.984651,4.148794,0
9.862615,6.629833,5.69117,1
9.96189,1.396552,2.604498,1
1.520826,5.488027,6.52952,0
5.681249,1.031039,2.82293,0
9.981697,3.292208,2.90318,1
1.96884,8.573267,9.508511,0
3.243347,4.011837,9.288003,0
2.318643,9.144725,9.005704,1
7.354421,0.024633,7.168509,0
8.784627,5.440807,1.8247,1
7.446428,2.688781,8.014864,1
7.405029,4.632334,8.414868,1
0.728426,0.249607,5.587662,0
1.598593,0.140245,7.933321,0
5.888537,4.211972,5.454323,1
6.677322,1.521824,6.021301,0
3.311822,0.628561,0.602028,0
4.149424,3.061353,7.199039,0
2.636284,2.78847,1.587483,0
4.616233,2.950398,3.611694,0
6.345205,5.430813,2.087055,1
2.487941,4.40049,0.982872,0
4.935266,8.482148,8.56543,1
6.33277,1.365569,6.566851,0
5.091364,7.476736,0.69408,1
5.472252,0.618482,6.814651,0
3.62825,1.132456,8.853288,0
7.449386,4.143665,5.348217,0
7.738544,2.149008,3.556758,1
0.284287,5.097953,3.789245,1
7.208105,1.841152,0.412938,1
3.592709,8.778591,3.856551,1
1.044775,9.792131,5.653079,1
0.038029,0.351142,4.716778,0
0.61445,2.376548,5.545688,0
4.298597,6.57925,0.589695,1
5.350574,3.238879,0.403594,0
1.452949,6.172919,1.878286,0
1.420466,0.318976,8.487913,0
1.425221,4.963863,2.711136,1
8.599354,4.347799,5.641123,1
0.812001,3.343206,6.665956,0
5.713366,3.730948,9.762277,1
5.093672,0.299031,9.046402,0
9.317156,5.536728,9.901082,1
8.951505,9.501066,6.391691,1
5.945792,9.293922,7.488095,1
9.214482,1.865309,7.417847,1
2.047309,7.175873,5.392386,1
7.998513,9.250513,3.318874,1
6.617002,2.767276,0.794025,1
7.767497,3.222473,9.346342,1
2.786929,8.276307,9.198455,1
7.856792,6.495792,4.918039,1
7.716834,8.194382,2.695547,1
4.105678,6.998518,1.195977,1
3.649694,8.685544,1.751496,1
2.141024,3.490268,0.59457,0
3.410653,0.249775,7.433392,0
1.04305,9.157453,3.488799,1
4.746218,4.584623,9.790042,1
6.184767,8.635766,8.031347,1
6.032008,2.57818,4.545729,0
4.724693,7.051564,8.013537,1
1.435989,2.668232,0.562731,0
2.934236,7.174468,2.895833,1
5.747622,8.852233,1.688796,0
1.092226,4.19224,7.106503,0
8.31384,0.271775,0.536975,0
1.739066,4.528471,4.262667,0
0.526358,4.846494,4.343722,1
8.950742,2.556663,8.174418,1
9.043255,0.771655,8.210028,1
5.233604,8.086628,6.701344,1
1.633422,1.210012,0.561374,0
7.479985,8.481281,4.206753,1
7.276507,3.806092,9.546103,1
7.357383,7.106852,9.794715,1
7.73061,2.281003,6.40565,1
0.75016,0.591585,3.206744,0
7.089188,4.815563,1.164435,1
1.999485,2.456131,9.827367,0
7.833847,5.531973,4.955997,0
5.106176,1.814371,4.641927,0
7.629658,5.750653,0.611367,1
4.395412,3.980005,3.671449,0
5.495402,5.712086,1.913049,1
2.847204,3.065447,3.13196,1
1.911291,9.800383,2.139767,1
3.102612,7.177107,5.378423,1
5.368488,3.959988,0.902026,1
3.593681,3.67326,0.577386,0
2.070188,5.009501,7.510794,0
7.696366,6.820169,4.753988,1
9.098703,3.932485,4.465251,1
2.212728,4.676723,0.180488,1
6.029755,0.626039,3.88889,0
9.044548,0.448848,9.064638,1
1.68609,8.014106,4.050283,1
3.745416,1.731671,4.679854,0
3.756684,2.991662,9.227641,0
4.639752,1.96711,3.031212,0
7.083015,7.965036,6.699587,1
3.994225,7.101998,7.443654,1
5.404565,5.391757,1.292167,1
9.71123,5.582308,4.159137,0
3.940381,6.799342,3.891257,1
2.303968,6.944195,7.641936,1
1.209432,5.248306,1.127143,0
6.146288,4.167321,5.207827,1
8.784939,5.474676,1.421482,0
6.590788,4.382199,8.812898,0
1.457701,7.688635,9.196267,1
0.279645,7.922346,9.902071,0
5.294778,7.175446,9.305566,1
1.296567,8.496456,5.988512,1
8.966581,3.273199,1.270661,1
8.736571,8.539276,2.744639,1
9.123202,8.984101,9.446301,1
6.09411,8.81875,7.856099,1
0.919215,9.525318,7.455666,1
9.337154,8.477939,6.628543,0
8.381642,0.803888,1.91121,1
6.734337,7.95339,2.878328,1
8.5445,6.978817,7.386974,0
3.899279,2.46733,9.715241,0
9.502258,2.109061,9.802031,1
2.27174,6.975293,8.017192,1
3.831356,5.443103,5.810817,0
8.149934,9.932649,4.305939,1
6.92653,0.886702,8.213172,0
3.358668,8.944459,4.819176,1
1.369501,0.87028,8.545795,0
4.120424,9.175656,7.970254,1
6.667113,5.773458,6.076698,1
0.661379,1.601305,4.699072,0
9.507798,6.980324,9.606083,0
4.831435,1.225248,0.511837,0
8.120123,1.499724,5.789435,1
7.488814,6.664051,5.857645,1
9.654751,4.136546,6.29152,1
3.958346,8.219948,8.164734,1
4.010998,1.296015,5.516642,0
6.175081,7.452184,1.401111,1
1.895417,4.936893,2.907221,0
2.913748,5.845439,9.166893,0
4.580327,4.698117,2.663501,1
8.823721,0.342281,7.884482,0
2.690325,6.763022,2.895594,1
9.519869,5.058467,7.206286,1
2.191073,9.35944,4.991566,1
2.879801,7.076031,7.131444,1
9.623959,4.868367,8.322271,1
0.51417,6.382229,2.557804,0
5.694253,5.035023,2.617018,0
